URL,Name,Price,Rating,Reviews
/Skybags-Backpack-Drawstring-SK-BPDRNT3BLK/dp/B0BFXMRH19,"Skybags Drip NXT 03 Unisex Daypack Backpack with Drawstring Pocket, Black, SK BPDRNT3BLK","₹1,890",4.1,More Like This
/BP1501-15-6-inch-Gaming-Laptop-Backpack/dp/B081RLHHCY,Asus ROG BP1501 39.62 cm (15.6-inch) Gaming Laptop Backpack (Black),"₹1,499",4.3,925
/Fostelo-CATLIN-Womens-Handbag-Maroon/dp/B079MD5F7R,Fostelo Handbag For Women And Girls | Ladies Purse Faux Leather Satchel Bag | Wedding Gifts For Women | Women 3 Compartments Bag | Travel Purse Hobo Bag | 5 Pockets Shoulder Bag,₹669,4.1,More Like This
/Wooum-Resistant-Material-Messenger-Compartment/dp/B09KV7Y3KL,Wooum Water Resistant Material Sling Bag/One Side Bag/Shoulder Bag/Messenger Bag/Office Messenger Bag/Travel Side Bag with 14.1 Inch Laptop Compartment -,₹474,4.0,261
/BAG-CORNER-Travel-Clothing-Duffel/dp/B0B6VNJ3YG,BAG CORNER Travel Woman and Clothing Duffel Bag (Ten),₹799,4.1,More Like This
/gp/bestsellers/luggage/1984990031/ref=sr_bs_7_1984990031_1,"Amazon Brand - Solimo Rain & Dust Cover for Backpack (30 Litres, Black)",₹209,4.2,"8,472"
/Deal-Polyester-Backpack-Computer-Resistant/dp/B08RC39B71,"The Deal Men's 15.6 Inch Polyester Casual Laptop Backpack, Travel Computer Bag Water Resistant College Work School Bag (Blue)",₹399,3.4,More Like This
/Casual-Waterproof-Laptop-Backpack-College/dp/B0C3XG81XS,"YASH Bag for Boys and Girls Blue Color, 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag","₹29,499",,M.R.P:
/Hammonds-Flycatcher-Brown-Mens-Laptop/dp/B01LYDRI9V,"Hammonds Flycatcher Genuine Leather Laptop Bag for Men/Office Bag for Men, Brown | Fits Upto 16 Inch Laptop/MacBook | Leather Bag with Shoulder Straps | Laptop Messenger Bag/Leather Bag for Men","₹2,899",4.4,"2,413"
/uppercase-Backpack-2300EBP1-repellent-sustainable/dp/B0B69M182Q,"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹1,600",4.1,More Like This
/Red-Lemon-Shoulder-Resistant-Electronic/dp/B0BT82BKCN,Red Lemon Arctic Hunter Mens Small Sling Bag Chest Bag Shoulder Bag Mobile Bag Side Bag with Earphone Port Water Resistant for Everyday Use Small Items and Small Electronic Product (Black),"₹1,299",3.6,6
/Pqwata-Capacity-Portable-Foldable-Weekender/dp/B09YRZ3TLY,"Pqwata Gym Bag, Travel Bag Sport Duffel Bag, Large Capacity Portable Foldable, Carry Luggage Bag for Weekender Sports, Vacation for Men Women (Multy Colour)",₹799,4.5,More Like This
/ASIAN-Sling-Bag-women-Handmade/dp/B09SXRZ7FW,ASIAN Sling Bag for Women - Handmade Bags for Females - Jute and Indian Fabric Slings - Side Bags for Mobile Phones and Wallets (Black),₹224,3.6,86
